target,feature_set,layer,layer_pct,model_type,fold,auc,f1,accuracy,n_train,n_test,positive_rate_test
refusal,hidden_layer_8,8.0,25.806451612903224,logistic,2,0.9681866201423945,0.777262180974478,0.9502332814930016,15431,3858,0.10964230171073094
refusal,hidden_layer_8,8.0,25.806451612903224,logistic,3,0.9711842201237747,0.7557160048134778,0.9473820632452048,15431,3858,0.10730948678071539
refusal,hidden_layer_8,8.0,25.806451612903224,logistic,4,0.9689595946848558,0.7569620253164557,0.9502203785325383,15432,3857,0.09670728545501685
refusal,hidden_layer_16,16.0,51.61290322580645,logistic,0,0.9691392201838721,0.8591352859135286,0.921461897356143,15431,3858,0.27553136340072576
refusal,hidden_layer_16,16.0,51.61290322580645,logistic,1,0.9845873524383056,0.8599752168525403,0.9707102125453603,15431,3858,0.1026438569206843
refusal,hidden_layer_16,16.0,51.61290322580645,logistic,2,0.9773579581625665,0.8243398392652124,0.9603421461897356,15431,3858,0.10964230171073094
refusal,hidden_layer_16,16.0,51.61290322580645,logistic,3,0.9830335751597681,0.8588374851720048,0.9691550025920166,15431,3858,0.10730948678071539
refusal,hidden_layer_16,16.0,51.61290322580645,logistic,4,0.9820135248689528,0.7929292929292929,0.9574799066632097,15432,3857,0.09670728545501685
refusal,hidden_layer_24,24.0,77.41935483870968,logistic,0,0.970564961958342,0.8594114899579636,0.9219803006739243,15431,3858,0.27553136340072576
refusal,hidden_layer_24,24.0,77.41935483870968,logistic,1,0.9890623449982202,0.8672350791717418,0.9717470191809228,15431,3858,0.1026438569206843
refusal,hidden_layer_24,24.0,77.41935483870968,logistic,2,0.9822381891321778,0.8480565371024735,0.9665629860031104,15431,3858,0.10964230171073094
refusal,hidden_layer_24,24.0,77.41935483870968,logistic,3,0.9783660724806006,0.8493475682087782,0.9670813893208916,15431,3858,0.10730948678071539
refusal,hidden_layer_24,24.0,77.41935483870968,logistic,4,0.9841004300009542,0.8148148148148148,0.9637023593466425,15432,3857,0.09670728545501685
refusal,hidden_layer_31,31.0,100.0,logistic,0,0.9772399645247443,0.8755803156917363,0.9305339554173147,15431,3858,0.27553136340072576
refusal,hidden_layer_31,31.0,100.0,logistic,1,0.9880958633125011,0.8575,0.9704510108864697,15431,3858,0.1026438569206843
refusal,hidden_layer_31,31.0,100.0,logistic,2,0.9803889181386163,0.8507638072855465,0.9670813893208916,15431,3858,0.10964230171073094
refusal,hidden_layer_31,31.0,100.0,logistic,3,0.9854160705168128,0.8561236623067776,0.9686365992742354,15431,3858,0.10730948678071539
refusal,hidden_layer_31,31.0,100.0,logistic,4,0.9802282667914296,0.8582887700534759,0.9725175006481721,15432,3857,0.09670728545501685
refusal,hidden_layer_31,31.0,100.0,gradient_boosting,0,0.9751683307613211,0.846793930494371,0.9188698807672369,15431,3858,0.27553136340072576
refusal,hidden_layer_31,31.0,100.0,gradient_boosting,1,0.990014238281136,0.8388814913448736,0.9686365992742354,15431,3858,0.1026438569206843
refusal,hidden_layer_31,31.0,100.0,gradient_boosting,2,0.9891287366526612,0.815,0.9616381544841887,15431,3858,0.10964230171073094
refusal,hidden_layer_31,31.0,100.0,gradient_boosting,3,0.9889186262463039,0.8287153652392947,0.9647485743908761,15431,3858,0.10730948678071539
refusal,hidden_layer_31,31.0,100.0,gradient_boosting,4,0.9883273363026074,0.8,0.9631838216230231,15432,3857,0.09670728545501685
